checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default,age_group,loan_to_income,risk_flag
> 200 DM,12,good,furniture/appliances,1474,< 100 DM,< 1 year,4,1,33,bank,own,1,management,1,yes,0,Adult,368.5,Normal
1 - 200 DM,45,critical,furniture/appliances,4746,< 100 DM,< 1 year,4,2,25,none,own,2,unskilled,1,no,1,Young,1186.5,Normal
Missing,48,critical,education,6110,< 100 DM,1 - 4 years,1,3,31,bank,other,1,skilled,1,yes,0,Adult,6110.0,Normal
> 200 DM,18,good,furniture/appliances,2100,< 100 DM,1 - 4 years,4,2,37,store,own,1,skilled,1,no,1,Adult,525.0,Normal
> 200 DM,10,good,furniture/appliances,1225,< 100 DM,1 - 4 years,2,2,37,none,own,1,skilled,1,yes,0,Adult,612.5,Normal
1 - 200 DM,9,good,furniture/appliances,458,< 100 DM,1 - 4 years,4,3,24,none,own,1,skilled,1,no,0,Young,114.5,Normal
Missing,30,good,furniture/appliances,2333,500 - 1000 DM,> 7 years,4,2,30,bank,own,1,management,1,no,0,Adult,583.25,Normal
1 - 200 DM,12,good,furniture/appliances,1158,500 - 1000 DM,1 - 4 years,3,1,26,none,own,1,skilled,1,yes,0,Adult,386.0,Normal
1 - 200 DM,18,poor,renovations,6204,< 100 DM,1 - 4 years,2,4,44,none,own,1,unskilled,2,yes,0,Middle Age,3102.0,Normal
< 0 DM,30,critical,car,6187,100 - 500 DM,4 - 7 years,1,4,24,none,rent,2,skilled,1,no,0,Young,6187.0,Normal
< 0 DM,48,critical,car,6143,< 100 DM,> 7 years,4,4,58,store,other,2,unskilled,1,no,1,Middle Age,1535.75,High Risk
Missing,11,critical,car,1393,< 100 DM,< 1 year,4,4,35,none,own,2,management,1,no,0,Adult,348.25,Normal
Missing,36,good,furniture/appliances,2299,500 - 1000 DM,> 7 years,4,4,39,none,own,1,skilled,1,no,0,Adult,574.75,Normal
< 0 DM,6,good,car,1352,500 - 1000 DM,unemployed,1,2,23,none,rent,1,unemployed,1,yes,0,Young,1352.0,Normal
Missing,11,critical,car,7228,< 100 DM,1 - 4 years,1,4,39,none,own,2,unskilled,1,no,0,Adult,7228.0,Normal
Missing,12,good,furniture/appliances,2073,100 - 500 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no,0,Adult,518.25,Normal
1 - 200 DM,24,poor,furniture/appliances,2333,Missing,< 1 year,4,2,29,bank,own,1,unskilled,1,no,0,Adult,583.25,Normal
1 - 200 DM,27,poor,car,5965,< 100 DM,> 7 years,1,2,30,none,own,2,management,1,yes,0,Adult,5965.0,Normal
Missing,12,good,furniture/appliances,1262,< 100 DM,1 - 4 years,3,2,25,none,own,1,skilled,1,no,0,Young,420.6666666666667,Normal
Missing,18,good,car,3378,Missing,1 - 4 years,2,1,31,none,own,1,skilled,1,yes,0,Adult,1689.0,Normal
1 - 200 DM,36,poor,car,2225,< 100 DM,> 7 years,4,4,57,bank,other,2,skilled,1,yes,1,Middle Age,556.25,Normal
Missing,6,very good,car,783,Missing,1 - 4 years,1,2,26,store,own,1,unskilled,2,no,0,Adult,783.0,Normal
1 - 200 DM,12,good,furniture/appliances,6468,Missing,unemployed,2,1,52,none,own,1,management,1,yes,1,Middle Age,3234.0,Normal
Missing,36,critical,furniture/appliances,9566,< 100 DM,1 - 4 years,2,2,31,store,own,2,skilled,1,no,0,Adult,4783.0,Normal
> 200 DM,18,good,car,1961,< 100 DM,> 7 years,3,2,23,none,own,1,management,1,no,0,Young,653.6666666666666,Normal
< 0 DM,36,critical,furniture/appliances,6229,< 100 DM,< 1 year,4,4,23,none,rent,2,unskilled,1,yes,1,Young,1557.25,High Risk
1 - 200 DM,9,good,business,1391,< 100 DM,1 - 4 years,2,1,27,bank,own,1,skilled,1,yes,0,Adult,695.5,Normal
1 - 200 DM,15,critical,furniture/appliances,1537,Missing,> 7 years,4,4,50,none,own,2,skilled,1,yes,0,Middle Age,384.25,Normal
1 - 200 DM,36,perfect,business,1953,< 100 DM,> 7 years,4,4,61,none,other,1,management,1,yes,1,Senior,488.25,Normal
1 - 200 DM,48,perfect,business,14421,< 100 DM,1 - 4 years,2,2,25,none,own,1,skilled,1,yes,1,Young,7210.5,Normal
Missing,24,good,furniture/appliances,3181,< 100 DM,< 1 year,4,4,26,none,own,1,skilled,1,yes,0,Adult,795.25,Normal
Missing,27,good,renovations,5190,Missing,> 7 years,4,4,48,none,own,4,skilled,2,yes,0,Middle Age,1297.5,Normal
Missing,12,good,furniture/appliances,2171,< 100 DM,< 1 year,2,2,29,bank,own,1,skilled,1,no,0,Adult,1085.5,Normal
1 - 200 DM,12,good,car,1007,> 1000 DM,1 - 4 years,4,1,22,none,own,1,skilled,1,no,0,Young,251.75,Normal
Missing,36,good,education,1819,< 100 DM,1 - 4 years,4,4,37,store,other,1,skilled,1,yes,1,Adult,454.75,Normal
Missing,36,good,furniture/appliances,2394,Missing,1 - 4 years,4,4,25,none,own,1,skilled,1,no,0,Young,598.5,Normal
Missing,36,good,car,8133,< 100 DM,1 - 4 years,1,2,30,bank,own,1,skilled,1,no,0,Adult,8133.0,Normal
Missing,7,critical,furniture/appliances,730,Missing,> 7 years,4,2,46,none,rent,2,unskilled,1,yes,0,Middle Age,182.5,Normal
< 0 DM,8,critical,car0,1164,< 100 DM,> 7 years,3,4,51,bank,other,2,management,2,yes,0,Middle Age,388.0,High Risk
1 - 200 DM,42,critical,business,5954,< 100 DM,4 - 7 years,2,1,41,bank,own,2,unskilled,1,no,0,Middle Age,2977.0,Normal
< 0 DM,36,good,education,1977,Missing,> 7 years,4,4,40,none,own,1,management,1,yes,1,Adult,494.25,Normal
< 0 DM,12,critical,car,1526,< 100 DM,> 7 years,4,4,66,none,other,2,management,1,no,0,Senior,381.5,High Risk
< 0 DM,42,good,furniture/appliances,3965,< 100 DM,< 1 year,4,3,34,none,own,1,skilled,1,no,1,Adult,991.25,High Risk
1 - 200 DM,11,poor,furniture/appliances,4771,< 100 DM,4 - 7 years,2,4,51,none,own,1,skilled,1,no,0,Middle Age,2385.5,Normal
Missing,54,perfect,car,9436,Missing,1 - 4 years,2,2,39,none,own,1,unskilled,2,no,0,Adult,4718.0,Normal
1 - 200 DM,30,good,furniture/appliances,3832,< 100 DM,< 1 year,2,1,22,none,own,1,skilled,1,no,0,Young,1916.0,Normal
Missing,24,good,furniture/appliances,5943,Missing,< 1 year,1,1,44,none,own,2,skilled,1,yes,1,Middle Age,5943.0,Normal
Missing,15,good,furniture/appliances,1213,500 - 1000 DM,> 7 years,4,3,47,store,own,1,skilled,1,yes,0,Middle Age,303.25,Normal
Missing,18,good,business,1568,100 - 500 DM,1 - 4 years,3,4,24,none,rent,1,unskilled,1,no,0,Young,522.6666666666666,Normal
< 0 DM,24,good,car0,1755,< 100 DM,> 7 years,4,4,58,none,own,1,unskilled,1,yes,0,Middle Age,438.75,High Risk
< 0 DM,10,good,furniture/appliances,2315,< 100 DM,> 7 years,3,4,52,none,own,1,unskilled,1,no,0,Middle Age,771.6666666666666,High Risk
Missing,12,critical,business,1412,< 100 DM,1 - 4 years,4,2,29,none,own,2,management,1,yes,0,Adult,353.0,Normal
1 - 200 DM,18,critical,furniture/appliances,1295,< 100 DM,< 1 year,4,1,27,none,own,2,skilled,1,no,0,Adult,323.75,Normal
1 - 200 DM,36,good,education,12612,100 - 500 DM,1 - 4 years,1,4,47,none,other,1,skilled,2,yes,1,Middle Age,12612.0,Normal
< 0 DM,18,good,car,2249,100 - 500 DM,4 - 7 years,4,3,30,none,own,1,management,2,yes,0,Adult,562.25,Normal
< 0 DM,12,perfect,renovations,1108,< 100 DM,4 - 7 years,4,3,28,none,own,2,skilled,1,no,1,Adult,277.0,High Risk
Missing,12,critical,furniture/appliances,618,< 100 DM,> 7 years,4,4,56,none,own,1,skilled,1,no,0,Middle Age,154.5,Normal
< 0 DM,12,critical,car,1409,< 100 DM,> 7 years,4,3,54,none,own,1,skilled,1,no,0,Middle Age,352.25,High Risk
Missing,12,critical,furniture/appliances,797,Missing,> 7 years,4,3,33,bank,own,1,unskilled,2,no,1,Adult,199.25,Normal
> 200 DM,24,critical,furniture/appliances,3617,Missing,> 7 years,4,4,20,none,rent,2,skilled,1,no,0,Young,904.25,Normal
1 - 200 DM,12,good,car,1318,> 1000 DM,> 7 years,4,4,54,none,own,1,skilled,1,yes,0,Middle Age,329.5,Normal
1 - 200 DM,54,perfect,business,15945,< 100 DM,< 1 year,3,4,58,none,rent,1,skilled,1,yes,1,Middle Age,5315.0,Normal
Missing,12,critical,education,2012,Missing,4 - 7 years,4,2,61,none,own,1,skilled,1,no,0,Senior,503.0,Normal
1 - 200 DM,18,good,business,2622,100 - 500 DM,1 - 4 years,4,4,34,none,own,1,skilled,1,no,0,Adult,655.5,Normal
1 - 200 DM,36,critical,furniture/appliances,2337,< 100 DM,> 7 years,4,4,36,none,own,1,skilled,1,no,0,Adult,584.25,Normal
1 - 200 DM,20,poor,car,7057,Missing,4 - 7 years,3,4,36,bank,rent,2,management,2,yes,0,Adult,2352.3333333333335,Normal
Missing,24,good,car,1469,100 - 500 DM,> 7 years,4,4,41,none,rent,1,unskilled,1,no,0,Middle Age,367.25,Normal
1 - 200 DM,36,good,furniture/appliances,2323,< 100 DM,4 - 7 years,4,4,24,none,rent,1,skilled,1,no,0,Young,580.75,Normal
Missing,6,poor,furniture/appliances,932,< 100 DM,1 - 4 years,3,2,24,none,own,1,skilled,1,no,0,Young,310.6666666666667,Normal
1 - 200 DM,9,critical,furniture/appliances,1919,< 100 DM,4 - 7 years,4,3,35,none,rent,1,skilled,1,yes,0,Adult,479.75,Normal
Missing,12,good,car,2445,Missing,< 1 year,2,4,26,none,rent,1,skilled,1,yes,0,Adult,1222.5,Normal
1 - 200 DM,24,critical,car0,11938,< 100 DM,1 - 4 years,2,3,39,none,own,2,management,2,yes,1,Adult,5969.0,Normal
Missing,18,very good,car,6458,< 100 DM,> 7 years,2,4,39,bank,own,2,management,2,yes,1,Adult,3229.0,Normal
1 - 200 DM,12,good,car,6078,< 100 DM,4 - 7 years,2,2,32,none,own,1,skilled,1,no,0,Adult,3039.0,Normal
< 0 DM,24,good,furniture/appliances,7721,Missing,< 1 year,1,2,30,none,own,1,skilled,1,yes,0,Adult,7721.0,Normal
1 - 200 DM,14,good,business,1410,500 - 1000 DM,> 7 years,1,2,35,none,own,1,skilled,1,yes,0,Adult,1410.0,Normal
1 - 200 DM,6,poor,business,1449,100 - 500 DM,> 7 years,1,2,31,bank,own,2,skilled,2,no,0,Adult,1449.0,Normal
> 200 DM,15,good,education,392,< 100 DM,< 1 year,4,4,23,none,rent,1,skilled,1,yes,0,Young,98.0,Normal
1 - 200 DM,18,good,car,6260,< 100 DM,4 - 7 years,3,3,28,none,rent,1,unskilled,1,no,0,Adult,2086.6666666666665,Normal
Missing,36,critical,car,7855,< 100 DM,1 - 4 years,4,2,25,store,own,2,skilled,1,yes,1,Young,1963.75,Normal
< 0 DM,12,good,furniture/appliances,1680,500 - 1000 DM,> 7 years,3,1,35,none,own,1,skilled,1,no,0,Adult,560.0,Normal
Missing,48,critical,furniture/appliances,3578,Missing,> 7 years,4,1,47,none,own,1,skilled,1,yes,0,Middle Age,894.5,Normal
< 0 DM,42,good,furniture/appliances,7174,Missing,4 - 7 years,4,3,30,none,own,1,management,1,yes,1,Adult,1793.5,Normal
< 0 DM,10,critical,furniture/appliances,2132,Missing,< 1 year,2,3,27,none,rent,2,skilled,1,no,0,Adult,1066.0,Normal
< 0 DM,33,critical,furniture/appliances,4281,500 - 1000 DM,1 - 4 years,1,4,23,none,own,2,skilled,1,no,1,Young,4281.0,Normal
1 - 200 DM,12,critical,car,2366,500 - 1000 DM,4 - 7 years,3,3,36,none,own,1,management,1,yes,0,Adult,788.6666666666666,Normal
< 0 DM,21,good,furniture/appliances,1835,< 100 DM,1 - 4 years,3,2,25,none,own,2,skilled,1,yes,1,Young,611.6666666666666,High Risk
Missing,24,critical,car,3868,< 100 DM,> 7 years,4,2,41,none,rent,2,management,1,yes,0,Middle Age,967.0,Normal
Missing,12,good,furniture/appliances,1768,< 100 DM,1 - 4 years,3,2,24,none,rent,1,unskilled,1,no,0,Young,589.3333333333334,Normal
> 200 DM,10,critical,car,781,< 100 DM,> 7 years,4,4,63,none,other,2,skilled,1,yes,0,Senior,195.25,Normal
1 - 200 DM,18,good,furniture/appliances,1924,Missing,< 1 year,4,3,27,none,rent,1,skilled,1,no,1,Adult,481.0,Normal
< 0 DM,12,critical,car,2121,< 100 DM,1 - 4 years,4,2,30,none,own,2,skilled,1,no,0,Adult,530.25,High Risk
< 0 DM,12,good,furniture/appliances,701,< 100 DM,1 - 4 years,4,2,40,none,own,1,unskilled,1,no,0,Adult,175.25,High Risk
1 - 200 DM,12,good,renovations,639,< 100 DM,1 - 4 years,4,2,30,none,own,1,skilled,1,no,1,Adult,159.75,Normal
1 - 200 DM,12,critical,car,1860,< 100 DM,unemployed,4,2,34,none,own,2,management,1,yes,0,Adult,465.0,Normal
< 0 DM,12,critical,car,3499,< 100 DM,1 - 4 years,3,2,29,none,own,2,skilled,1,no,1,Adult,1166.3333333333333,High Risk
1 - 200 DM,48,good,car,8487,Missing,4 - 7 years,1,2,24,none,own,1,skilled,1,no,0,Young,8487.0,Normal
< 0 DM,36,poor,education,6887,< 100 DM,1 - 4 years,4,3,29,store,own,1,skilled,1,yes,1,Adult,1721.75,High Risk
Missing,15,good,furniture/appliances,2708,< 100 DM,< 1 year,2,3,27,bank,own,2,unskilled,1,no,0,Adult,1354.0,Normal
Missing,18,good,furniture/appliances,1984,< 100 DM,1 - 4 years,4,4,47,bank,other,2,skilled,1,no,0,Middle Age,496.0,Normal
Missing,60,good,furniture/appliances,10144,100 - 500 DM,4 - 7 years,2,4,21,none,own,1,skilled,1,yes,0,Young,5072.0,Normal
Missing,12,critical,furniture/appliances,1240,Missing,> 7 years,4,2,38,none,own,2,skilled,1,yes,0,Adult,310.0,Normal
Missing,27,poor,car,8613,> 1000 DM,1 - 4 years,2,2,27,none,own,2,skilled,1,no,0,Adult,4306.5,Normal
1 - 200 DM,12,good,furniture/appliances,766,500 - 1000 DM,1 - 4 years,4,3,66,none,own,1,unskilled,1,no,1,Senior,191.5,Normal
1 - 200 DM,15,critical,furniture/appliances,2728,Missing,4 - 7 years,4,2,35,bank,own,3,skilled,1,yes,0,Adult,682.0,Normal
> 200 DM,12,good,furniture/appliances,1881,< 100 DM,1 - 4 years,2,2,44,none,rent,1,unskilled,1,yes,0,Middle Age,940.5,Normal
> 200 DM,6,good,car,709,> 1000 DM,< 1 year,2,2,27,none,own,1,unemployed,1,no,0,Adult,354.5,Normal
1 - 200 DM,36,good,furniture/appliances,4795,< 100 DM,< 1 year,4,1,30,none,own,1,management,1,yes,0,Adult,1198.75,Normal
< 0 DM,27,good,furniture/appliances,3416,< 100 DM,1 - 4 years,3,2,27,none,own,1,management,1,no,0,Adult,1138.6666666666667,High Risk
< 0 DM,18,good,furniture/appliances,2462,< 100 DM,1 - 4 years,2,2,22,none,own,1,skilled,1,no,1,Young,1231.0,High Risk
Missing,21,critical,furniture/appliances,2288,< 100 DM,< 1 year,4,4,23,none,own,1,skilled,1,yes,0,Young,572.0,Normal
1 - 200 DM,48,very good,business,3566,100 - 500 DM,4 - 7 years,4,2,30,none,own,1,skilled,1,no,0,Adult,891.5,Normal
< 0 DM,6,critical,car,860,< 100 DM,> 7 years,1,4,39,none,own,2,skilled,1,yes,0,Adult,860.0,High Risk
Missing,12,critical,car,682,100 - 500 DM,4 - 7 years,4,3,51,none,own,2,skilled,1,yes,0,Middle Age,170.5,Normal
< 0 DM,36,critical,furniture/appliances,5371,< 100 DM,1 - 4 years,3,2,28,none,own,2,skilled,1,no,0,Adult,1790.3333333333333,High Risk
Missing,18,critical,furniture/appliances,1582,> 1000 DM,> 7 years,4,4,46,none,own,2,skilled,1,no,0,Middle Age,395.5,Normal
Missing,6,good,furniture/appliances,1346,100 - 500 DM,> 7 years,2,4,42,bank,other,1,skilled,2,yes,0,Middle Age,673.0,Normal
Missing,10,good,furniture/appliances,1924,< 100 DM,1 - 4 years,1,4,38,none,own,1,skilled,1,yes,0,Adult,1924.0,Normal
> 200 DM,36,good,furniture/appliances,5848,< 100 DM,1 - 4 years,4,1,24,none,own,1,skilled,1,no,0,Young,1462.0,Normal
1 - 200 DM,24,critical,car,7758,> 1000 DM,> 7 years,2,4,29,none,rent,1,skilled,1,no,0,Adult,3879.0,Normal
1 - 200 DM,24,poor,business,6967,100 - 500 DM,4 - 7 years,4,4,36,none,rent,1,management,1,yes,0,Adult,1741.75,Normal
< 0 DM,12,good,furniture/appliances,1282,< 100 DM,1 - 4 years,2,4,20,none,rent,1,skilled,1,no,1,Young,641.0,High Risk
< 0 DM,9,critical,renovations,1288,100 - 500 DM,> 7 years,3,4,48,none,own,2,skilled,2,no,0,Middle Age,429.3333333333333,Normal
< 0 DM,12,very good,education,339,< 100 DM,> 7 years,4,1,45,bank,own,1,unskilled,1,no,0,Middle Age,84.75,High Risk
1 - 200 DM,24,good,car,3512,100 - 500 DM,4 - 7 years,2,3,38,bank,own,2,skilled,1,yes,0,Adult,1756.0,Normal
Missing,6,critical,furniture/appliances,1898,Missing,1 - 4 years,1,2,34,none,own,2,unskilled,2,no,0,Adult,1898.0,Normal
Missing,24,critical,furniture/appliances,2872,100 - 500 DM,> 7 years,3,4,36,none,own,1,skilled,2,yes,0,Adult,957.3333333333334,Normal
Missing,18,critical,car,1055,< 100 DM,< 1 year,4,1,30,none,own,2,skilled,1,no,0,Adult,263.75,Normal
Missing,15,good,furniture/appliances,1262,500 - 1000 DM,4 - 7 years,4,3,36,none,own,2,skilled,1,yes,0,Adult,315.5,Normal
1 - 200 DM,10,good,car,7308,< 100 DM,unemployed,2,4,70,bank,other,1,management,1,yes,0,Senior,3654.0,Normal
Missing,36,good,car,909,500 - 1000 DM,> 7 years,4,4,36,none,own,1,skilled,1,no,0,Adult,227.25,Normal
Missing,6,good,furniture/appliances,2978,500 - 1000 DM,1 - 4 years,1,2,32,none,own,1,skilled,1,yes,0,Adult,2978.0,Normal
< 0 DM,18,good,furniture/appliances,1131,< 100 DM,unemployed,4,2,33,none,own,1,skilled,1,no,1,Adult,282.75,High Risk
1 - 200 DM,11,good,furniture/appliances,1577,> 1000 DM,< 1 year,4,1,20,none,own,1,skilled,1,no,0,Young,394.25,Normal
Missing,24,good,furniture/appliances,3972,< 100 DM,4 - 7 years,2,4,25,none,rent,1,skilled,1,yes,0,Young,1986.0,Normal
1 - 200 DM,24,critical,business,1935,< 100 DM,> 7 years,4,4,31,none,own,2,skilled,1,yes,1,Adult,483.75,Normal
< 0 DM,15,perfect,car,950,< 100 DM,> 7 years,4,3,33,none,rent,2,skilled,2,no,1,Adult,237.5,High Risk
Missing,12,good,furniture/appliances,763,< 100 DM,1 - 4 years,4,1,26,none,own,1,skilled,1,yes,0,Adult,190.75,Normal
1 - 200 DM,24,poor,furniture/appliances,2064,< 100 DM,unemployed,3,2,34,none,own,1,management,1,yes,1,Adult,688.0,Normal
1 - 200 DM,8,good,furniture/appliances,1414,< 100 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no,0,Adult,353.5,Normal
< 0 DM,21,poor,education,3414,< 100 DM,< 1 year,2,1,26,none,own,2,skilled,1,no,1,Adult,1707.0,High Risk
Missing,30,very good,car,7485,Missing,unemployed,4,1,53,bank,own,1,management,1,yes,1,Middle Age,1871.25,Normal
< 0 DM,12,good,furniture/appliances,2577,< 100 DM,1 - 4 years,2,1,42,none,own,1,skilled,1,no,0,Middle Age,1288.5,High Risk
< 0 DM,6,critical,furniture/appliances,338,500 - 1000 DM,> 7 years,4,4,52,none,own,2,skilled,1,no,0,Middle Age,84.5,Normal
Missing,12,good,furniture/appliances,1963,< 100 DM,4 - 7 years,4,2,31,none,rent,2,management,2,yes,0,Adult,490.75,Normal
< 0 DM,21,critical,car,571,< 100 DM,> 7 years,4,4,65,none,own,2,skilled,1,no,0,Senior,142.75,High Risk
Missing,36,poor,business,9572,< 100 DM,< 1 year,1,1,28,none,own,2,skilled,1,no,1,Adult,9572.0,Normal
1 - 200 DM,36,poor,business,4455,< 100 DM,1 - 4 years,2,2,30,store,own,2,management,1,yes,1,Adult,2227.5,Normal
< 0 DM,21,very good,car,1647,Missing,1 - 4 years,4,2,40,none,own,2,unskilled,2,no,1,Adult,411.75,Normal
Missing,24,critical,furniture/appliances,3777,> 1000 DM,1 - 4 years,4,4,50,none,own,1,skilled,1,yes,0,Middle Age,944.25,Normal
1 - 200 DM,18,critical,car,884,< 100 DM,> 7 years,4,4,36,bank,own,1,skilled,2,yes,1,Adult,221.0,Normal
Missing,15,critical,furniture/appliances,1360,< 100 DM,1 - 4 years,4,2,31,none,own,2,skilled,1,no,0,Adult,340.0,Normal
1 - 200 DM,9,very good,car,5129,< 100 DM,> 7 years,2,4,74,bank,other,1,management,2,yes,1,Senior,2564.5,Normal
1 - 200 DM,16,critical,car,1175,< 100 DM,unemployed,2,3,68,none,other,3,unemployed,1,yes,0,Senior,587.5,Normal
< 0 DM,12,good,furniture/appliances,674,100 - 500 DM,4 - 7 years,4,1,20,none,own,1,skilled,1,no,1,Young,168.5,Normal
1 - 200 DM,18,perfect,furniture/appliances,3244,< 100 DM,1 - 4 years,1,4,33,bank,own,2,skilled,1,yes,0,Adult,3244.0,Normal
Missing,24,good,business,4591,> 1000 DM,1 - 4 years,2,3,54,none,own,3,management,1,yes,1,Middle Age,2295.5,Normal
1 - 200 DM,48,perfect,business,3844,100 - 500 DM,4 - 7 years,4,4,34,none,other,1,unskilled,2,no,1,Adult,961.0,Normal
1 - 200 DM,27,good,business,3915,< 100 DM,1 - 4 years,4,2,36,none,own,1,skilled,2,yes,1,Adult,978.75,Normal
Missing,6,good,furniture/appliances,2108,< 100 DM,4 - 7 years,2,2,29,none,rent,1,skilled,1,no,0,Adult,1054.0,Normal
1 - 200 DM,45,good,furniture/appliances,3031,100 - 500 DM,1 - 4 years,4,4,21,none,rent,1,skilled,1,no,1,Young,757.75,Normal
1 - 200 DM,9,critical,education,1501,< 100 DM,> 7 years,2,3,34,none,own,2,management,1,yes,1,Adult,750.5,Normal
Missing,6,critical,furniture/appliances,1382,< 100 DM,1 - 4 years,1,1,28,none,own,2,skilled,1,yes,0,Adult,1382.0,Normal
1 - 200 DM,12,good,furniture/appliances,951,100 - 500 DM,< 1 year,4,4,27,bank,rent,4,skilled,1,no,1,Adult,237.75,Normal
1 - 200 DM,24,good,car,2760,Missing,> 7 years,4,4,36,bank,other,1,skilled,1,yes,0,Adult,690.0,Normal
